species,TempClass
Pseudomonas amygdali,Mesophilic
Pseudomonas argentinensis,Mesophilic
Actinomyces procaprae,
Microbacterium sp. MPKO10,
Chitinophaga oryzae,
Pontibacter sp. XAAS-72,
Bradyrhizobium oligotrophicum,
Simplicispira suum,
Streptomyces sp. NA03103,Mesophilic
Brevibacterium sp. BDJS002,
Mycobacterium sp. DL440,
Mycolicibacter hiberniae,
Cellulosilyticum lentocellum,
Symmachiella dynata,
Bradyrhizobium vignae,
Microbulbifer sp. THAF38,
Halomonas sp. SF2003,
Pseudomonas sp. B11D7D,Mesophilic
Streptomyces sp. ID38640,Mesophilic
Microbacterium sp. Se5.02b,
Oceanobacillus oncorhynchi,
Petrimonas mucosa,
Sphingomonas suaedae,
Herminiimonas arsenitoxidans,
Massilia sp. Dwa41.01b,
Desulfosarcina alkanivorans,
Spiribacter curvatus,
Dickeya chrysanthemi,Mesophilic
Mycetocola spongiae,
Mycobacterium heraklionense,
Mycolicibacter sp. MYC123,
Gracilibacillus salitolerans,
Roseovarius sp. THAF8,
Casimicrobium huifangae,
Caballeronia sp. TF1N1,
Variovorax sp. PAMC 28711,
Halomonas sp. HL-93,
Halomonas sp. THAF12,
Vibrio cholerae,
Actinomyces qiguomingii,
Arthrobacter sp. PAMC25284,
Glutamicibacter sp. MNS18,
Flavonifractor plautii,
Tenacibaculum jejuense,
Gemmata sp. SH-PL17,
Terrihabitans soli,
Neotabrizicola shimadae,
Pontivivens ytuae,
Sphingopyxis sp. EG6,
Caballeronia sp. Lep1P3,
Caballeronia sp. SL2Y3,
Dermabacter jinjuensis,
Bacillus licheniformis,
Geobacillus kaustophilus,Thermophilic
Lysinibacillus sp. JK80,
Virgibacillus halodenitrificans,
Sphingobacterium mizutaii,
Sphingomonas sp. NIBR 02145,
Spongiibacter sp. IMCC21906,
Bibersteinia trehalosi,
Pseudomonas sp. MSPm1,Mesophilic
Dyella sp. M7H15-1,
Acidobacterium capsulatum,
Actinomyces weissii,
Arthrobacter sp. PM3,
Mycolicibacterium sp. TY81,
Bacillus amyloliquefaciens,
Paenibacillus cellulosilyticus,
Arachidicoccus ginsenosidivorans,
Dyadobacter fermentans,
Thermus aquaticus,Thermophilic
Lacipirellula limnantheis,
Sphingobium xenophagum,
Sphingomonas sp. So64.6b,
Aquitalea aquatilis,
Methylococcus sp. EFPC2,
Corynebacterium occultum,
Rhizobium rhizoryzae,
Labrenzia sp. VG12,
Sphingobium sp. RSMS,
Sphingomonas paucimobilis,
Serpentinimonas raichei,
Pseudomonas sihuiensis,Mesophilic
Mycetocola zhujimingii,
Rubrobacter tropicus,
Cyanobium sp. NS01,
Gemmatimonas phototrophica,
Brevundimonas goettingensis,
Pacificitalea manganoxidans,
Sphingomonas sp. HMP9,
Sphingopyxis sp. OPL5,
Paraburkholderia sprentiae,
Proteus terrae,Mesophilic
Candidatus Methylospira mobilis,
Pseudomonas viridiflava,Mesophilic
Rathayibacter rathayi,
Lichenicola cladoniae,
Syntrophobacter fumaroxidans,
Methylococcus sp. 16-5,
Marinobacter sp. LPB0319,
Drechmeria coniospora,
Brevundimonas vitisensis,
Pukyongiella litopenaei,
Pseudomonas campi,Mesophilic
Citrus sinensis,
Halovivax limisalsi,
Streptomyces sp. 11-1-2,Mesophilic
Glutamicibacter creatinolyticus,
Paenibacillus sp. N3/727,
Spirosoma rigui,
Bradyrhizobium septentrionale,
Rhizobium bangladeshense,
Roseicitreum antarcticum,
Sphingomonas lutea,
Diaphorobacter sp. HDW4A,
Pseudomonas alcaliphila,Mesophilic
Pseudomonas sp. CCOS 191,Mesophilic
Pseudomonas sp. L5B5,Mesophilic
Pseudomonas sp. MPC6,Mesophilic
Halosimplex rubrum,
Sulfidibacter corallicola,
Nocardia seriolae,
Reichenbachiella sp. Wsw4-B4,
Flavobacterium endoglycinae,
Paracoccus jeotgali,
Ketogulonicigenium vulgare,
Leisingera caerulea,
Paraburkholderia acidiphila,
Chitiniphilus sp. CD1,
Kocuria sp. TGY1127_2,
Mycobacterium paragordonae,
Mycobacteroides chelonae,Mesophilic
Meiothermus taiwanensis,Thermophilic
Paracoccus methylovorus,
Roseivivax sp. THAF30,
Salipiger sp. CCB-MM3,
Burkholderia oklahomensis,
Caballeronia zhejiangensis,
Halomonas sp. MCCC 1A13316,
Stenotrophomonas sp. SAU14A_NAIMI4_8,
Purpureocillium takamizusanense,
Mycobacteroides immunogenum,Mesophilic
Alkalihalobacillus krulwichiae,
Clostridium septicum,Mesophilic
Echinicola rosea,
Capnocytophaga gingivalis,
Deinococcus maricopensis,
Methylobacterium phyllosphaerae,
Sphingomonas sp. AP4-R1,
Comamonas fluminis,
Collimonas arenae,
Trichlorobacter lovleyi,
Sodalis ligni,Mesophilic
Halomonas chromatireducens,
Pseudomonas sp. Pc102,Mesophilic
Natrinema sp. YPL30,
Nanchangia anserum,
Trueperella pecoris,
Echinicola vietnamensis,
Chryseobacterium gleum,
Synechococcus sp. CBW1004,
Acidithiobacillus caldus,
Bradyrhizobium amphicarpaeae,
Rhodovulum sp. MB263,
Qipengyuania sediminis,
Sphingomonas aerolata,
Paenalcaligenes faecalis,
Kushneria phosphatilytica,
Cucurbita pepo,
Mycobacterium malmoense,
Mycobacterium sp. SMC-4,
Cyclonatronum proteinivorum,
Croceicoccus sp. YJ47,
Pandoraea thiooxydans,
Paraburkholderia dokdonella,
Comamonas sp. B21-038,
Denitratisoma oestradiolicum,
Edaphobacter lichenicola,
Microbacterium sp. 1.5R,
Arthrobacter sp. FW306-06-A,
Mycobacterium heckeshornense,
Rhodococcus erythropolis,
Oceanobacillus jeddahense,
Alistipes onderdonkii,
Muricauda ruestringensis,
Methylovirgula sp. HY1,
Paraburkholderia atlantica,
Quatrionicoccus australiensis,
Pseudomonas rhizosphaerae,Mesophilic
Stenotrophomonas sp. SI-NJAU-1,
Bdellovibrio bacteriovorus,
Microbacterium sp. J1-1,
Gordonia bronchialis,
Chitinophaga caeni,
Flavobacterium sp. N1719,
Martelella lutilitoris,
Rhodopseudomonas sp. SK50-23,
Herbaspirillum sp. meg3,
Enterobacter cloacae,Mesophilic
Thalassolituus sp. C2-1,
Halopseudomonas sp. RR6,
Marasmius oreades,
Cucumis sativus,
Parageobacillus caldoxylosilyticus,Thermophilic
Paenibacillus sp. PHS-Z3,
Sulfitobacter faviae,
Halapricum desulfuricans,
Corynebacterium diphtheriae,
Cyclobacterium marinum,
Flavobacterium sp. KK2020170,
Roseiflexus sp. RS-1,
Acholeplasma hippikon,
Polaromonas naphthalenivorans,
Geomonas oryzisoli,
Ferrimonas balearica,
Halomonas sp. 1513,
Colletotrichum lupini,
Arthrobacter sp. zg-Y462,
Mycobacterium marseillense,
Alkalihalobacillus clausii,
Heyndrickxia oleronia,
Heliomicrobium modesticaldum,
Roseimaritima multifibrata,
Sphingomonas sp. IC081,
Pandoraea faecigallinarum,
Serpentinimonas maccroryi,
Desulfovibrio sulfodismutans,
Candidatus Reidiella endopervernicosa,
Pseudomonas sp. M1,Mesophilic
Stenotrophomonas sp. DFS-20110405,
Leucobacter viscericola,
Microbacterium sp. KSW4-10,
Faecalibacterium prausnitzii,
Selenomonas sputigena,
Sphingobacterium sp. CZ-2,
Tardiphaga robiniae,
Rhizobium sp. N324,
Dinoroseobacter shibae,
Qipengyuania sp. SS22,
Hydrogenophaga sp. PAMC20947,
Halioglobus japonicus,
Thiolapillus brandeum,
Thermomicrobium roseum,
Arthrobacter koreensis,
Mycolicibacter terrae,
Bacillus halotolerans,
Parabacteroides distasonis,Mesophilic
Brevundimonas sp. M20,
Rhizobium sp. IE4771,
Chromobacterium paludis,
Aeromonas media,
Nitrincola iocasae,
Marinobacter sp. Arc7-DN-1,
Pseudomonas sp. Y5-11,Mesophilic
Vibrio coralliilyticus,
Natribaculum sp. AD-4,
Microbacterium sp. RG1,
Arthrobacter sp. U41,
Nesterenkonia pannonica,
Mycobacterium shinjukuense,
Flavobacterium sp. IMCC34775,
Deinococcus gobiensis,
Rubripirellula lacrimiformis,
Crateriforma conspicua,
Paracoccus tegillarcae,
Sphingobium fuliginis,
Burkholderia sp. JP2-270,
Streptomyces californicus,Mesophilic
Streptomyces sp. VB1,Mesophilic
Lysinibacillus timonensis,
Rhizobium sp. K102,
Phaeobacter gallaeciensis,
Sphingomonas sp. S1-29,
Bordetella genomosp. 6,
Hylemonella gracilis,
Roseateles depolymerans,
Cellvibrio sp. KY-YJ-3,
Pseudomonas pohangensis,Mesophilic
Leishmania major,
Methanobrevibacter sp. YE315,
Streptomyces sp. 769,Mesophilic
Brevibacterium limosum,
Geobacillus genomosp. 3,Thermophilic
Paenibacillus sp. CAA11,
Staphylococcus agnetis,
Enterococcus gilvus,
Algoriphagus sanaruensis,
Nitrospira japonica,
Methylocystis sp. MJC1,
Gymnodinialimonas ceratoperidinii,
Tritonibacter mobilis,
Acidibrevibacterium fodinaquatile,
Gluconobacter oxydans,
Herbaspirillum hiltneri,
Marinobacterium georgiense,
Pseudomonas marincola,Mesophilic
Bifidobacterium longum,
Streptomyces sp. Mg1,Mesophilic
Mycobacterium conspicuum,
Lysinibacillus sp. SGAir0095,
Paenibacillus albus,
Dysosmobacter welbionis,
Hymenobacter monticola,
Acetobacter aceti,
Pandoraea sputorum,
Rhodoferax antarcticus,
Chromobacterium sp. IIBBL 290-4,
Bradymonas sediminis,
Corynebacterium casei,
Mycobacterium paraseoulense,
Peribacillus frigoritolerans,
Pontibacter russatus,
Croceicoccus sp. Ery15,
Janthinobacterium sp. 17J80-10,
Nitrosomonas eutropha,
Haemophilus parainfluenzae,
Pseudomonas wenzhouensis,Mesophilic
Rathayibacter sp. VKM Ac-2803,
Arthrobacter sp. YN,
Mycobacterium colombiense,
Actinoalloteichus sp. GBA129-24,
Priestia aryabhattai,
Exiguobacterium alkaliphilum,
Staphylococcus aureus,
Winogradskyella forsetii,
Croceimicrobium hydrocarbonivorans,
Chlorobaculum tepidum,
Sphingomonas sp. NIC1,
Sphingomonas sp. PAMC26645,
Sphingomonas sp. QA11,
Variovorax sp. PDNC026,
Geobacter metallireducens,
Gibbsiella quercinecans,Mesophilic
Acinetobacter indicus,
Pseudomonas sp. p1(2021b),Mesophilic
Xanthomonas axonopodis,
Actinomyces gaoshouyii,
Chryseoglobus sp. 28M-23,
Corynebacterium jeddahense,
Arachnia rubra,
Niallia circulans,
Brevibacillus choshinensis,
Enterocloster asparagiformis,
Aquirufa nivalisilvae,
Spirosoma endbachense,
Runella slithyformis,
Flavobacterium sp. IMCC34774,
Muricauda oceani,
Brevundimonas nasdae,
Brevundimonas sp. LM2,
Paracoccus mutanolyticus,
Tsuneonella dongtanensis,
Burkholderia stagnalis,
Caballeronia grimmiae,
Pandoraea vervacti,
Comamonas kerstersii,
Aminomonas paucivorans,
Streptomyces sp. PBH53,Mesophilic
Kocuria sp. BT304,
Corynebacterium matruchotii,
Mycobacterium paraterrae,
Laceyella sacchari,
Meiothermus ruber,Thermophilic
Methylocystis sp. SB2,
Sideroxydans lithotrophicus,
Halobaculum salinum,
Streptomyces sp. CB04723,Mesophilic
Brevibacterium linens,
Arthrobacter sp. NicSoilB8,
Olsenella timonensis,
Lysinibacillus sp. YS11,
Chitinophaga sp. MD30,
Flavobacterium sp. N2013,
Formosa sp. Hel1_33_131,
Azospirillum humicireducens,
Sphingopyxis sp. YF1,
Advenella kashmirensis,
Oligella urethralis,
Marinomonas rhizomae,
[Pseudomonas] zhaodongensis,
Dyella caseinilytica,
Halarchaeum sp. CBA1220,
Pseudarthrobacter sp. SSS035,
Gordonia otitidis,
Brevibacillus brevis,
Prevotella copri,
Rhizobium sp. NXC14,
Oceanicola sp. D3,
Roseovarius tolerans,
Sphingomonas sp. S2-65,
Paraburkholderia terrae,
Klebsiella variicola,Mesophilic
Methanobrevibacter smithii,
Streptomyces sp. Sge12,Mesophilic
Streptomyces sp. WAC00288,Mesophilic
Corynebacterium imitans,
Corynebacterium marinum,
Gordonia sp. PDNC005,
Vescimonas fastidiosa,
Hymenobacter oligotrophus,
Flavobacterium sp. CHNK8,
Flavobacterium sp. SLB02,
Myroides fluvii,
Jannaschia sp. M317,
Novosphingobium sp. P6W,
Cupriavidus sp. P-10,
Janthinobacterium svalbardensis,
Citrobacter amalonaticus,Mesophilic
Leclercia adecarboxylata,Mesophilic
Cobetia pacifica,
Methylophaga nitratireducenticrescens,
Salvia hispanica,
Natronomonas salina,
Corynebacterium sanguinis,
Zunongwangia sp. SCSIO 43204,
Chryseobacterium indologenes,
Brevundimonas sp. SL130,
Rhizobium anhuiense,
Azospira inquinata,
Pseudomonas frederiksbergensis,Mesophilic
Pseudomonas sp. CMR5c,Mesophilic
Streptomyces violaceusniger,Mesophilic
Arthrobacter sunyaminii,
Mycobacterium cookii,
Rhodococcus sp. JS3073,
Clostridium chauvoei,Mesophilic
Salegentibacter sp. T436,
Deinococcus metallilatus,
Deinococcus radiopugnans,
Bradyrhizobium sp. CCBAU 21365,
Phyllobacterium sp. 628,
Collimonas pratensis,
Oceanimonas sp. GK1,
Cedecea neteri,Mesophilic
Methylomonas denitrificans,
Actinobacillus pleuropneumoniae,
Ahniella affigens,
Arthrobacter dokdonellae,
Mycobacteroides saopaulense,Mesophilic
Paenibacillus sabinae,
Staphylospora marina,
Hymenobacter sp. 5116S-3,
Flavobacterium gilvum,
Synechococcus sp. SynAce01,
Sphingomonas ginsengisoli An et al. 2013,
Paraburkholderia hospita,
Streptomyces sp. 2114.2,Mesophilic
Streptomyces sp. SS52,Mesophilic
Corynebacterium nuruki,
Rhodococcus sp. B7740,
Arabiibacter massiliensis,
Polycladomyces abyssicola,
Flavobacterium sp. KACC 22763,
Aurantiacibacter gangjinensis,
Sphingobium sp. JS3065,
Sedimenticola thiotaurini,
Halomonas sp. NyZ770,
Marinobacter salsuginis,
Pseudomonas promysalinigenes,Mesophilic
Pseudomonas sp. T1-3-2,Mesophilic
Pseudomonas vanderleydeniana,Mesophilic
Vibrio tarriae,
Methanobrevibacter sp. TLL-48-HuF1,
Streptomyces sp. A144,Mesophilic
Brevibacterium sandarakinum,
Subtercola sp. PAMC28395,
Eggerthella lenta,
Proteiniphilum saccharofermentans,
Alistipes senegalensis,
Pseudobacter ginsenosidimutans,
Cruoricaptor ignavus,
Brevundimonas vancanneytii,
Bradyrhizobium sp. 186,
Bradyrhizobium sp. 41S5,
Sphingomonas sp. J315,
Burkholderia perseverans,
Paraburkholderia graminis,
Polynucleobacter sp. MWH-UH2A,
Halomonas sp. GD1P12,
Pseudomonas graminis,Mesophilic
Pseudomonas nitroreducens,Mesophilic
Microbacterium liquefaciens,
Corynebacterium kroppenstedtii,
Mycobacterium noviomagense,
Pedobacter aquae,
Sphingobacterium faecium,
Allomeiothermus silvanus,Thermophilic
Bradyrhizobium sp. CCBAU 51765,
Tardiphaga sp. vice154,
Magnetococcus marinus,
Gemmobacter aquarius,
Porphyrobacter sp. LM 6,
Thiomonas intermedia,
Iodobacter ciconiae,
Microbulbifer sp. GL-2,
Raoultella ornithinolytica,Mesophilic
Pseudomonas sp. DY-1,Mesophilic
Sulfuriroseicoccus oceanibius,
Arthrobacter sp. DNA4,
Arthrobacter sp. MMS18-M83,
Gordonia sp. 135,
Candidatus Mycobacterium methanotrophicum,
Gordonibacter urolithinfaciens,
Bacillus altitudinis,
Metabacillus dongyingensis,
Paenibacillus sp. Y412MC10,
Flavobacterium channae,
Deinococcus radiodurans,
Bradyrhizobium sp. CCBAU 53340,
Rhizobium acidisoli,
Antarctobacter heliothermus,Thermophilic
Sphingobium phenoxybenzoativorans,
Comamonas odontotermitis,
Congregibacter litoralis,
Spongiibacter nanhainus,
Hydrogenophilus thermoluteolus,
Paenibacillus algicola,
Leptolyngbya sp. 7M,
Afipia sp. GAS231,
Agrobacterium sp. RAC06,
Thalassospira indica,
Sphingobium indicum,
Stenotrophomonas sp. MYb57,
Arthrobacter sp. PAMC 25486,
Cytobacillus solani,
Heyndrickxia vini,
Salisediminibacterium selenitireducens,
Clostridium sp. 16K-1-R1,Mesophilic
Sinomicrobium kalidii,
Haliscomenobacter hydrossis,
Azospirillum sp. TSH58,
Thalassospira marina,
Qipengyuania gelatinilytica,
Sphingopyxis fribergensis,
Sphingopyxis sp. DBS4,
Pantoea dispersa,Mesophilic
Ustilaginoidea virens,
Halobacterium sp. DL1,
Lysinibacillus sphaericus,
Winogradskyella sp. PC-19,
Pedobacter sp. G11,
Sulfurimicrobium lacus,
Microbulbifer sp. ALW1,
Sulfuriflexus mobilis,
Acinetobacter pseudolwoffii,
Marinobacter adhaerens,
Cloacibacillus porcorum,
Halococcus qingdaonensis,
Streptomyces sp. Tu6071,Mesophilic
Solibacillus sp. R5-41,
Keratinibaculum paraultunense,
Isosphaera pallida,
Pseudosulfitobacter sp. DSM 107133,
Roseovarius sp. TM1035,
Sphingomonas sp. AAP5,
Alcaligenes sp. 1735tsa3,
Duganella dendranthematis,
Paludibacterium yongneupense,
Methylacidimicrobium sp. B4,
Paeniglutamicibacter sp. ZC-3,
Mycobacterium sp. JS623,
Candidatus Desulforudis audaxviator,
Alistipes dispar,
Nonlabens ponticola,
Bradyrhizobium guangzhouense,
Achromobacter sp. 77,
Marinobacterium sediminicola,
Pseudomonas sp. LS.1a,Mesophilic
Haloferax gibbonsii,
Streptomyces sp. Tue 6075,Mesophilic
Arthrobacter sp. FW306-2-2C-D06B,
Glutamicibacter protophormiae,
Corynebacterium liangguodongii,
Mycobacterium stomatepiae,
Phoenicibacter congonensis,
Mesobacillus jeotgali,
Listeria monocytogenes,
Fluviicola taffensis,
Aeoliella mucimassa,
Bradyrhizobium sp. 14AB,
Bradyrhizobium sp. 170,
Sphingomonas sp. R1,
Pandoraea norimbergensis,
Polaromonas sp. JS666,
Dechloromonas sp. TW-R-39-2,
Desulfolithobacter dissulfuricans,
Caldichromatium japonicum,
Leucobacter luti,
Schnuerera ultunensis,
Niabella soli,
Hymenobacter sp. 5317J-9,
Terricaulis silvestris,
Pseudooceanicola algae,
Alcaligenes sp. SORT26,
Diaphorobacter sp. ED-3,
Diaphorobacter sp. HDW4B,
Desulfovibrio vulgaris,
Marinobacter sp. LQ44,
Priestia flexa,
Clostridium saccharoperbutylacetonicum,Mesophilic
Bacteroides eggerthii,Mesophilic
Aequorivita sublithincola,
Flavobacterium branchiophilum,
Flavobacterium sp. N1736,
Rhodopirellula sp. P2,
Aestuariispira ectoiniformans,
Sphingobium sp. YC-XJ3,
Sphingomonas sp. RMG20,
Burkholderia metallica,
Xanthomonas hydrangeae,
Akkermansia glycaniphila,
Corynebacterium humireducens,
Mycobacterium heidelbergense,
Mycobacterium marinum,
Mycobacterium sp. Aquia_213,
Paenibacillus sp. URB8-2,
Dyadobacter sp. NIV53,
Capnocytophaga ochracea,
Psychroflexus sp. ALD_RP9,
Siansivirga zeaxanthinifaciens,
Bradyrhizobium sp. CB3035,
Pararhodospirillum photometricum,
Burkholderia sp. B21-005,
[Acidovorax] ebreus,
Methylococcus geothermalis,
Pseudomonas sp. M30-35,Mesophilic
Bacillus mycoides,
Geobacillus zalihae,Thermophilic
Metabacillus sediminilitoris,
Paenibacillus tritici,
Dorea formicigenerans,
Candidatus Saccharimonas aalborgensis,
Asticcacaulis sp. AND118,
Caenibius sp. WL,
Pseudopuniceibacterium antarcticum,
Sphingomonas panacisoli,
Sphingopyxis sp. PAMC25046,
Aquaspirillum sp. LM1,
Geoalkalibacter halelectricus,
Neurospora crassa,
Streptomyces sp. KPB2,Mesophilic
Streptomyces sp. LBUM 1482,Mesophilic
Arthrobacter sp. NtRootA1,
Arthrobacter sp. zg-Y1171,
Corynebacterium timonense,
Slackia heliotrinireducens,
Lysinibacillus fusiformis,
Clostridium isatidis,Mesophilic
Dorea longicatena,
Mariniflexile sp. TRM1-10,
Gloeobacter morelensis,
Synechococcus sp. CBW1002,
Pseudochrobactrum sp. Wa41.01b-1,
Agrobacterium rubi,
Acidiphilium cryptum,
Burkholderia seminalis,
Ottowia oryzae,
Acidiferrobacter thiooxydans,
Dickeya zeae,Mesophilic
Pseudomonas mediterranea,Mesophilic
Pseudomonas sp. BSw22131,Mesophilic
Salinirubellus salinus,
Nesterenkonia sp. NBAIMH1,
Listeria innocua,
Paenibacillus lutimineralis,
Paenibacillus sp. JDR-2,
Anaerotruncus colihominis,
Chitinophaga filiformis,
Mongoliitalea daihaiensis,
Dyadobacter sp. U1,
Flavobacterium johnsoniae,
Deinococcus sp. TS-293,
Rhizobium sp. B21/90,
Roseibium alexandrii,
Glycocaulis alkaliphilus,
Fuscovulum blasticum,
Thioclava nitratireducens,
Tsuneonella flava,
Sphingosinithalassobacter tenebrarum,
Cupriavidus sp. KK10,
Geobacter sp. FeAm09,
Arthrobacter sp. zg-Y815,
Clostridium sp. DL-VIII,Mesophilic
Niabella ginsenosidivorans,
Flavobacterium cyclinae,
Flavobacterium sp. F-70,
Mucilaginibacter rubeus,
Rhodopirellula baltica,
Gimesia maris,
Acidovorax sp. 1608163,
Desulfuromonas soudanensis,
Geomonas nitrogeniifigens,
Pseudomonas sp. Sm006,Mesophilic
Arabidopsis thaliana,
Gephyromycinifex aptenodytis,
Pseudarthrobacter sp. NIBRBAC000502770,
Mycobacterium gordonae,
Mycobacterium shigaense,
Anoxybacillus amylolyticus,
Paenibacillus peoriae,
Flavobacterium cerinum,
Blastomonas fulva,
Caballeronia sp. Sq4a,
Paraburkholderia sp. PGU16,
Rhodoferax sp. PAMC 29310,
Azospira oryzae,
Shewanella loihica,
Serratia liquefaciens,Mesophilic
Horticoccus luteus,
Besnoitia besnoiti,
Microbacterium endophyticum,
Sutcliffiella cohnii,
Bradyrhizobium sp.,
Nitrobacter hamburgensis,
Leisingera sp. BMJM1,
Sulfuriferula plumbiphila,
Providencia alcalifaciens,Mesophilic
Cobetia sp. AM6,
Pseudomonas trivialis,Mesophilic
Actinomyces lilanjuaniae,
Actinomyces sp. Chiba101,
Streptomyces sp. NEAU-S7GS2,Mesophilic
Corynebacterium uterequi,
Mycolicibacterium vanbaalenii,
Bacillus sp. N3536,
Flavobacterium ammoniigenes,
Sphingobacterium sp. SRCM116780,
Planctopirus ephydatiae,
Bradyrhizobium sp. CB1024,
Sphingomonas sp. S6-11,
Cupriavidus malaysiensis,
Ferrigenium kumadai,
Sulfuricella denitrificans,
